cruise,cast,niskin,replicate,vol_filtered,filter_size,fd_calibrated,tau_calibrated,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
en617,21,19-21-23-24,c,120,>10&<200,1.3933,2.129904724,2.32,1.47,0.5085,1.8115,0.9615,0.111622545,0.031044645,1
en617,21,19-21-23-24,a,120,>5&<200,1.3933,2.129904724,2.82,1.73,0.5085,2.3115,1.2215,0.143139499,0.038106442,1
en617,21,19-21-23-24,b,120,>5&<200,1.3933,2.129904724,2.88,1.74,0.5085,2.3715,1.2315,0.149705531,0.033024209,1
en617,21,19-21-23-24,c,120,>5&<200,1.3933,2.129904724,2.49,1.55,0.5085,1.9815,1.0415,0.123441403,0.031096172,1
en617,21,19-21-23-24,a,120,>20&<200,1.3933,2.129904724,0.772,0.64,0.5085,0.2635,0.1315,0.017334325,0.002177621,1
en617,21,19-21-23-24,b,120,>20&<200,1.3933,2.129904724,0.794,0.686,0.5085,0.2855,0.1775,0.014182629,0.012154788,1
en617,21,19-21-23-24,c,120,>20&<200,1.3933,2.129904724,0.722,0.679,0.5085,0.2135,0.1705,0.005646788,0.01965197,3
en627,3,8-10-11,a,152,>0&<200,0.324655349,2.154519162,222,160,2.46,219.54,157.55,1.482521762,2.867575764,1
en627,3,8-10-11,b,152,>0&<200,0.324655349,2.154519162,253,157,2.46,250.54,154.55,2.295648716,1.971616106,1
en627,3,8-10-11,c,152,>0&<200,0.324655349,2.154519162,288,166,2.46,285.54,163.55,2.917451681,1.598311254,1
en627,3,8-10-11,a,152,>10&<200,0.324655349,2.154519162,NaN,NaN,2.46,NaN,NaN,NaN,NaN,9
en627,3,8-10-11,b,152,>10&<200,0.324655349,2.154519162,NaN,NaN,2.46,NaN,NaN,NaN,NaN,9
en627,3,8-10-11,c,152,>10&<200,0.324655349,2.154519162,199,100,2.46,196.54,97.55,2.367395212,0.326048226,1
en627,3,8-10-11,a,152,>5&<200,0.324655349,2.154519162,241,123,2.46,238.54,120.55,2.821789686,0.506704485,1
en627,3,8-10-11,b,152,>5&<200,0.324655349,2.154519162,231,122,2.46,228.54,119.55,2.606550198,0.694333072,1
en627,3,8-10-11,c,152,>5&<200,0.324655349,2.154519162,276,136,2.46,273.54,133.55,3.347930657,0.339505234,1
en627,3,8-10-11,a,152,>20&<200,0.324655349,2.154519162,213,108,2.46,210.54,105.55,2.510888204,0.403442446,1
en627,3,8-10-11,b,152,>20&<200,0.324655349,2.154519162,189,95.5,2.46,186.54,93.05,2.235859969,0.333334412,1
en627,3,8-10-11,c,152,>20&<200,0.324655349,2.154519162,208,105,2.46,205.54,102.55,2.463057206,0.368440739,1
en627,8,9-10-11,a,152,>0&<200,0.324655349,2.154519162,304,172,2.79,301.21,169.455,3.150986525,1.527818783,1
en627,8,9-10-11,b,152,>0&<200,0.324655349,2.154519162,297,168,2.79,294.21,165.455,3.079240029,1.489121673,1
en627,8,9-10-11,c,152,>0&<200,0.324655349,2.154519162,313,170,2.79,310.21,167.455,3.41405701,1.209526494,1
en627,8,9-10-11,a,152,>10&<200,0.324655349,2.154519162,259,129,2.79,256.21,126.455,3.103155528,0.388381017,1
en627,8,9-10-11,b,152,>10&<200,0.324655349,2.154519162,300,153,2.79,297.21,150.455,3.509719005,0.644479175,1
en627,8,9-10-11,c,152,>10&<200,0.324655349,2.154519162,259,129,2.79,256.21,126.455,3.103155528,0.388381017,1
en627,8,9-10-11,a,152,>5&<200,0.324655349,2.154519162,275,135,2.79,272.21,132.455,3.342310515,0.314891439,1
en627,8,9-10-11,b,152,>5&<200,0.324655349,2.154519162,316,154,2.79,313.21,151.455,3.868451485,0.313357597,1
