cruise,cast,niskin,bottle_other_method,date,latitude,longitude,depth,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,nearest_station,station_distance
EN608,4,12,,2018-02-01 05:52:23,41.01866,-70.87066,3.5460000000000003,a,282.0,>0,1.90201556461163,0.4842368919391789,367.3,212.6,1.05266666666667,366.24733333333296,211.54733333333303,3.92100281258971,0.915466392144275,L2,1.6480634402696774
EN608,4,12,,2018-02-01 05:52:23,41.01866,-70.87066,3.5460000000000003,b,282.0,>0,1.90201556461163,0.4842368919391789,351.5,203.7,1.05266666666667,350.44733333333295,202.64733333333302,3.7461164557256503,0.886877832809277,L2,1.6480634402696774
EN608,4,12,,2018-02-01 05:52:23,41.01866,-70.87066,3.5460000000000003,a,200.0,>5,1.90201556461163,0.4842368919391789,236.7,146.8,1.05266666666667,235.64733333333302,145.747333333333,3.2128144506855802,1.4854840071898503,L2,1.6480634402696774
EN608,4,12,,2018-02-01 05:52:23,41.01866,-70.87066,3.5460000000000003,b,200.0,>5,1.90201556461163,0.4842368919391789,225.3,134.2,1.05266666666667,224.24733333333302,133.147333333333,3.2556996268905003,1.03642631849141,L2,1.6480634402696774
EN608,4,4,,2018-02-01 05:47:15,41.02006,-70.87133,29.595,a,286.0,<10,1.90201556461163,0.4842368919391789,104.2,64.78,1.05266666666667,103.147333333333,63.7273333333333,0.9851594673648689,0.4514201249601379,L2,1.4939985854160522
EN608,4,4,,2018-02-01 05:47:15,41.02006,-70.87133,29.595,b,288.0,<10,1.90201556461163,0.4842368919391789,95.71,60.52,1.05266666666667,94.6573333333333,59.4673333333333,0.873338744589864,0.45790002256674894,L2,1.4939985854160522
EN608,4,12,,2018-02-01 05:52:23,41.01866,-70.87066,3.5460000000000003,a,283.0,<10,1.90201556461163,0.4842368919391789,71.95,45.61,1.05266666666667,70.89733333333331,44.557333333333304,0.6652506132141961,0.34983514762551504,L2,1.6480634402696774
EN608,4,12,,2018-02-01 05:52:23,41.01866,-70.87066,3.5460000000000003,b,283.0,<10,1.90201556461163,0.4842368919391789,97.49,61.12,1.05266666666667,96.4373333333333,60.0673333333333,0.9185711770159571,0.449856648368848,L2,1.6480634402696774
EN608,4,12,,2018-02-01 05:52:23,41.01866,-70.87066,3.5460000000000003,a,200.0,>20,1.90201556461163,0.4842368919391789,228.3,133.6,1.05266666666667,227.24733333333302,132.547333333333,3.3843551555052698,0.8884292416626569,L2,1.6480634402696774
EN608,4,12,,2018-02-01 05:52:23,41.01866,-70.87066,3.5460000000000003,b,200.0,>20,1.90201556461163,0.4842368919391789,206.3,124.5,1.05266666666667,205.24733333333302,123.44733333333299,2.92333951130234,1.0560980712869399,L2,1.6480634402696774
