"cruise","date.x","cast","niskin","replicate","depth_rep","filter_id_ooi","filter_size_ooi","Comments","chl_ooi_r","phaeo_ooi_r","filter_size","date.y","latitude","longitude","depth","chl_r","phaeo_r","method_contributor","chl_diff"
"AR24C",2017-11-06,3,"7","a","a","03/03",">0","volume not recorded in sample log, infer from brown bottle # volume from another cast",0.689,0.316,">0",2017-11-06 20:50:22,40.0961666666667,-70.8835,6.34287171186052,0.689,0.316,"method_Sosik",0
"AR24C",2017-11-06,3,"8","a","b","03/04",">0","volume not recorded in sample log, infer from brown bottle # volume from another cast",0.791,0.341,">0",2017-11-06 20:50:30,40.0961666666667,-70.8835,6.47881659025588,0.791,0.341,"method_Sosik",0
"AR24C",2017-11-07,4,"5","a","a","04/01",">0",NA,0.957,0.5,">0",2017-11-07 16:39:38,40.2273333333333,-70.8835,32.1703930107645,0.957,0.5,"method_Sosik",0
"AR24C",2017-11-07,4,"6","a","b","04/02",">0",NA,0.755,0.354,">0",2017-11-07 16:39:47,40.2273333333333,-70.8835,31.5145731270965,0.755,0.354,"method_Sosik",0
"AR24C",2017-11-07,4,"7","a","a","04/03",">0",NA,1.028,0.406,">0",2017-11-07 16:42:02,40.2273333333333,-70.8835,7.58612771034045,1.028,0.406,"method_Sosik",0
"AR24C",2017-11-07,4,"8","a","b","04/04",">0","two 04/04 entries in lab notebook, second entry is Rb 172.8 Ra 108.1, these values match the duplicate depth better, maybe typo and other sample was AR24B 04/004 because that sample missing",0.936,0.348,">0",2017-11-07 16:42:12,40.2273333333333,-70.8835,7.05029535385767,0.936,0.348,"method_Sosik",0
"AR24C",2017-11-09,9,"4","a","a","09/01",">0",NA,0.275,0.17,">0",2017-11-09 14:44:32,40.3651666666667,-70.775,47.9534819967295,0.275,0.17,"method_Sosik",0
"AR24C",2017-11-09,9,"5","a","a","09/02",">0",NA,1.215,0.485,">0",2017-11-09 14:47:27,40.3651666666667,-70.775,10.9964305595556,1.215,0.485,"method_Sosik",0
"AR24C",2017-11-09,9,"6","a","b","09/03",">0",NA,1.318,0.54,">0",2017-11-09 14:47:35,40.3651666666667,-70.775,11.0559656618358,1.318,0.54,"method_Sosik",0
"AR24C",2017-11-09,9,"7","a","a","09/04",">0",NA,1.422,0.496,">0",2017-11-09 14:48:55,40.3651666666667,-70.775,3.25969658627097,1.422,0.496,"method_Sosik",0
"AR24C",2017-11-09,9,"8","a","b","09/05",">0",NA,1.378,0.602,">0",2017-11-09 14:49:13,40.3651666666667,-70.775,2.85583441016755,1.378,0.602,"method_Sosik",0
"AR24C",2017-11-10,10,"5","a","a","10/01",">0",NA,0.43,0.324,">0",2017-11-10 02:08:05,39.9411666666667,-70.883,28.0724626576598,0.43,0.324,"method_Sosik",0
"AR24C",2017-11-10,10,"6","a","b","10/02",">0",NA,0.434,0.322,">0",2017-11-10 02:08:14,39.9411666666667,-70.883,27.7390807305915,0.434,0.322,"method_Sosik",0
"AR24C",2017-11-10,10,"7","a","a","10/03",">0",NA,0.447,0.322,">0",2017-11-10 02:10:21,39.9411666666667,-70.883,2.64755522230204,0.447,0.322,"method_Sosik",0
"AR24C",2017-11-10,10,"8","a","b","10/04",">0",NA,0.436,0.339,">0",2017-11-10 02:10:29,39.9411666666667,-70.883,2.50565189478205,0.436,0.339,"method_Sosik",0
"AR24C",2017-11-11,11,"5","a","a","11/01",">0",NA,0.645,0.29,">0",2017-11-11 17:31:29,39.9398333333333,-70.7761666666667,23.0538193462626,0.645,0.29,"method_Sosik",0
"AR24C",2017-11-11,11,"6","a","b","11/02",">0",NA,0.645,0.265,">0",2017-11-11 17:31:46,39.9398333333333,-70.7761666666667,23.5806937337334,0.645,0.265,"method_Sosik",0
"AR24C",2017-11-11,11,"7","a","a","11/03",">0",NA,0.655,0.287,">0",2017-11-11 17:33:38,39.9398333333333,-70.7761666666667,6.98994875785197,0.655,0.287,"method_Sosik",0
"AR24C",2017-11-11,11,"8","a","b","11/04",">0",NA,0.631,0.279,">0",2017-11-11 17:33:50,39.9398333333333,-70.7761666666667,6.96613332434226,0.631,0.279,"method_Sosik",0
"AR24C",2017-11-12,12,"3","a","a","12/01",">0",NA,0.665,0.281,">0",2017-11-12 04:24:08,40.3635,-70.8841666666667,42.3154617847718,0.665,0.281,"method_Sosik",0
"AR24C",2017-11-12,12,"4","a","b","12/02",">0",NA,0.737,0.284,">0",2017-11-12 04:24:16,40.3635,-70.8841666666667,42.3362958867919,0.737,0.284,"method_Sosik",0
"AR24C",2017-11-12,12,"5","a","a","12/03",">0",NA,0.91,0.27,">0",2017-11-12 04:26:03,40.3635,-70.8841666666667,22.3851836813234,0.91,0.27,"method_Sosik",0
"AR24C",2017-11-12,12,"6","a","b","12/04",">0",NA,0.779,0.302,">0",2017-11-12 04:26:11,40.3635,-70.8841666666667,22.6689517598478,0.779,0.302,"method_Sosik",0
"AR24C",2017-11-12,12,"7","a","a","12/05",">0",NA,0.928,0.32,">0",2017-11-12 04:27:37,40.3635,-70.8841666666667,7.5255052875928,0.928,0.32,"method_Sosik",0
"AR24C",2017-11-12,12,"8","a","b","12/06",">0",NA,0.831,0.274,">0",2017-11-12 04:27:49,40.3635,-70.8841666666667,7.64358524499114,0.831,0.274,"method_Sosik",0
"AR24A",NA,2,"1","a",NA,NA,NA,NA,NA,NA,">0",2017-10-22 21:17:08,40.9645,-70.8305,47.3556485144637,0.258,0.32,"method_Sosik",NA
"AR24A",NA,2,"1","b",NA,NA,NA,NA,NA,NA,">0",2017-10-22 21:17:08,40.9645,-70.8305,47.3556485144637,0.268,0.298,"method_Sosik",NA
"AR24A",NA,5,"1","a",NA,NA,NA,NA,NA,NA,">0",2017-10-23 02:35:46,40.4988333333333,-70.8368333333333,70.8096902887748,0.303,0.391,"method_Sosik",NA
"AR24A",NA,5,"1","b",NA,NA,NA,NA,NA,NA,">0",2017-10-23 02:35:46,40.4988333333333,-70.8368333333333,70.8096902887748,0.324,0.421,"method_Sosik",NA
"AR24A",NA,5,"2","a",NA,NA,NA,NA,NA,NA,">0",2017-10-23 02:39:04,40.4988333333333,-70.8368333333333,44.1155717199601,0.459,0.316,"method_Sosik",NA
