cruise,cast,niskin,niskin_second_cast,replicate,vol_filtered,filter_size,fd_calibrated,tau_calibrated,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
en617,14,20-21-22-23-24,NA',c,120,>0&<200,1.3933,2.129904724,7.36,4.59,0.425,6.935,4.165,0.363758175503446,0.254243743964975,1
en617,14,20-21-22-23-24,NA',a,120,>10&<200,1.3933,2.129904724,0.776,0.993,0.425,0.351,0.568,-0.0284965790917862,0.112776312647143,4
en617,14,20-21-22-23-24,NA',b,120,>10&<200,1.3933,2.129904724,1.38,1.02,0.425,0.955,0.595,0.0472754307513503,0.0410105577441384,1
en617,14,20-21-22-23-24,NA',c,120,>10&<200,1.3933,2.129904724,1.37,0.993,0.425,0.945,0.568,0.0495078816479419,0.0347718519074154,1
en617,14,20-21-22-23-24,NA',a,120,>5&<200,1.3933,2.129904724,1.88,1.19,0.425,1.455,0.765,0.0906112422734214,0.0228993143636355,1
en617,14,20-21-22-23-24,NA',b,120,>5&<200,1.3933,2.129904724,1.95,1.31,0.425,1.525,0.885,0.0840452102246228,0.0472709239241293,1
en617,14,20-21-22-23-24,NA',c,120,>5&<200,1.3933,2.129904724,1.93,1.35,0.425,1.505,0.925,0.0761659717660644,0.0610853548865861,3
en617,14,20-21-22-23-24,NA',a,120,>20&<200,1.3933,2.129904724,0.798,0.654,0.425,0.373,0.229,0.0189101723005401,0.0150688047842782,1
en617,14,20-21-22-23-24,NA',b,120,>20&<200,1.3933,2.129904724,0.813,0.647,0.425,0.388,0.222,0.0217992264020115,0.0111410919946246,1
en617,14,20-21-22-23-24,NA',c,120,>20&<200,1.3933,2.129904724,0.801,0.656,0.425,0.376,0.231,0.0190414929415161,0.0152342437684972,1
en617,18,19-20,NA',a,120,>0&<200,1.3933,2.129904724,6.23,3.89,0.5085,5.7215,3.3815,0.307290299883777,0.194456036414534,1
en617,18,19-20,NA',b,120,>0&<200,1.3933,2.129904724,6.31,3.7,0.5085,5.8015,3.1915,0.34274687294729,0.130807298957504,1
en617,18,19-20,NA',c,120,>0&<200,1.3933,2.129904724,6.34,4,0.5085,5.8315,3.4915,0.307290299883777,0.210777815800255,1
en617,18,19-20,NA',a,120,>10&<200,1.3933,2.129904724,1.14,0.821,0.5085,0.6315,0.3125,0.0418912844713354,0.00447740696537083,1
en617,18,19-20,NA',b,120,>10&<200,1.3933,2.129904724,1.05,0.667,0.5085,0.5415,0.1585,0.0502958054937977,-0.0267776051971003,3
en617,18,19-20,NA',c,120,>10&<200,1.3933,2.129904724,1.05,0.764,0.5085,0.5415,0.2555,0.0375577033191283,0.000353338799522731,1
en617,18,19-20,NA',a,120,>5&<200,1.3933,2.129904724,1.44,0.973,0.5085,0.9315,0.4645,0.0613267393357795,0.00759568361574074,1
en617,18,19-20,NA',b,120,>5&<200,1.3933,2.129904724,1.2,0.871,0.5085,0.6915,0.3625,0.0432044908810951,0.0105831911854841,1
en617,18,19-20,NA',c,120,>5&<200,1.3933,2.129904724,1.35,0.926,0.5085,0.8415,0.4175,0.0556799517738126,0.00626861998562697,1
en617,18,19-20,NA',a,120,>20&<200,1.3933,2.129904724,0.702,0.598,0.5085,0.1935,0.0895,0.0136573466615012,-0.000377353434028526,3
en617,18,19-20,NA',b,120,>20&<200,1.3933,2.129904724,0.736,0.646,0.5085,0.2275,0.1375,0.0118188576878376,0.00858336654431319,1
en617,18,19-20,NA',c,120,>20&<200,1.3933,2.129904724,0.743,0.62,0.5085,0.2345,0.1115,0.0161524388400447,0.000391910264572106,1
en617,21,14-15,NA',a,120,>0&<200,1.3933,2.129904724,33.9,19.1,0.5085,33.3915,18.5915,1.9435454864444,0.815057799461276,1
en617,21,14-15,NA',b,120,>0&<200,1.3933,2.129904724,34.1,19.2,0.5085,33.5915,18.6915,1.956677550542,0.816763716623423,1
en617,21,14-15,NA',c,120,>0&<200,1.3933,2.129904724,33.2,19.2,0.5085,32.6915,18.6915,1.83848897366362,0.934952293501799,1
en617,21,14-15,NA',a,120,>10&<200,1.3933,2.129904724,9.3,5.11,0.5085,8.7915,4.6015,0.550233485689327,0.132536221977885,1
en617,21,14-15,NA',b,120,>10&<200,1.3933,2.129904724,10.6,5.69,0.5085,10.0915,5.1815,0.644784347192028,0.124045651781711,1
en617,21,14-15,NA',c,120,>10&<200,1.3933,2.129904724,11.1,6.5,0.5085,10.5915,5.9915,0.604074948489476,0.284942698688205,1
en617,21,14-15,NA',a,120,>5&<200,1.3933,2.129904724,13.2,6.77,0.5085,12.6915,6.2615,0.844391721475507,0.0846884751034889,1
en617,21,14-15,NA',b,120,>5&<200,1.3933,2.129904724,15.2,7.84,0.5085,14.6915,7.3315,0.966519917583162,0.121326678475116,1
en617,21,14-15,NA',c,120,>5&<200,1.3933,2.129904724,13.9,7.71,0.5085,13.3915,7.2015,0.812874767641274,0.255682452779335,1
en617,21,14-15,NA',a,120,>20&<200,1.3933,2.129904724,1.62,1.11,0.5085,1.1115,0.6015,0.0669735268977463,0.0222769303796259,1
en617,21,14-15,NA',b,120,>20&<200,1.3933,2.129904724,1.84,1.32,0.5085,1.3315,0.8115,0.068286733307506,0.0521234846153328,1
en617,21,14-15,NA',c,120,>20&<200,1.3933,2.129904724,1.75,1.26,0.5085,1.2415,0.7515,0.0643471140782268,0.0471603150887644,1
en617,21,17-18,NA',a,120,>0&<200,1.3933,2.129904724,14.2,8.45,0.5085,13.6915,7.9415,0.755093685611845,0.423264596130883,1
