"cruise","cast","date","latitude","longitude","nearest_station","distance_km"
"AR28B","29",2018-04-12 00:47:48,40.335167,-70.830333,"L6",5.47114158783
"AR28B","30",2018-04-12 01:37:39,40.2705,-70.829333,"L7",6.68565796715
"AR28B","31",2018-04-12 02:27:37,40.204667,-70.828667,"L7",5.24613676366
"AR28B","32",2018-04-12 03:18:23,40.1405,-70.830333,"L8",4.72264531482
"AR28B","33",2018-04-12 04:19:11,40.075333,-70.83,"L9",5.20405484064
"AR28B","34",2018-04-12 05:05:47,40.009333,-70.831333,"L9.5",4.55961438243
"AR28B","35",2018-04-12 05:59:34,39.945333,-70.830167,"L10",4.56833816319
"AR28B","36",2018-04-12 06:58:09,39.8805,-70.829667,"L10.5",5.28724428686
"AR28B","37",2018-04-12 12:07:44,40.136667,-70.775,"L8",0.00366943763
"EN617","1",2018-07-20 17:23:53,41.200667,-70.885333,"L1",0.47276927719
"EN617","2",2018-07-20 22:57:14,41.030333,-70.880667,"L2",0.22394259995
"EN617","3",2018-07-21 01:15:21,41.03,-70.769833,"u2a",0.22371271695
"EN617","4",2018-07-21 02:58:24,41.030333,-70.991167,"d2a",0.25427135627
"EN617","5",2018-07-21 06:39:49,40.863667,-70.883,"L3",0.0479770459
"EN617","6",2018-07-21 11:04:40,40.700833,-70.772667,"u4a",0.46298619024
"EN617","7",2018-07-21 12:37:37,40.697167,-70.993167,"d4a",0.05378081465
"EN617","8",2018-07-21 14:51:08,40.698667,-70.880167,"L4",0.34292862029
"EN617","9",2018-07-21 17:23:38,40.516833,-70.880833,"L5",0.44477461702
"EN617","10",2018-07-21 21:39:59,40.3645,-70.770833,"u6a",0.31232566647
"EN617","11",2018-07-21 23:17:27,40.3645,-70.989,"d6a",0.325174616
"EN617","12",2018-07-22 02:08:27,40.365667,-70.8885,"L6",0.51319663766
"EN617","13",2018-07-22 05:00:38,40.234167,-70.892167,"L7",1.12071589252
"EN617","14",2018-07-22 08:58:16,40.138667,-70.7585,"L8",1.41958883045
"EN617","15",2018-07-22 13:38:24,40.093667,-70.779,"u9a",0.65914180259
"EN617","16",2018-07-22 15:46:45,40.096,-70.993167,"d9a",0.26196599075
"EN617","17",2018-07-22 18:17:39,40.0995,-70.876333,"L9",0.60742819643
"EN617","18",2018-07-22 21:46:41,39.9495,-70.884333,"L10",1.06001754947
"EN617","19",2018-07-23 08:08:23,39.773833,-70.769667,"u11a",0.45960708456
"EN617","20",2018-07-23 10:21:49,39.7725,-70.987333,"d11a",0.38367181748
"EN617","21",2018-07-23 12:59:50,39.7715,-70.879167,"L11",0.40598727584
"EN617","22",2018-07-23 15:46:43,39.771333,-70.872333,"L11",0.9624624026
"EN617","23",2018-07-23 17:28:33,39.941167,-70.768167,"L12",0.59682154645
"EN617","24",2018-07-23 20:55:25,40.366,-70.766,"u6a",0.75418721448
"EN617","25",2018-07-24 07:38:18,39.773833,-70.875333,"L11",0.68345173823
"EN617","26",2018-07-24 11:18:38,39.947833,-70.879167,"L10",0.93955762238
"EN617","27",2018-07-24 12:57:11,40.103833,-70.889,"L9",0.78330242203
"EN617","28",2018-07-24 14:11:34,40.227167,-70.886167,"L7",0.24887627567
"EN617","29",2018-07-24 15:32:23,40.367333,-70.887333,"L6",0.56378858135
"EN617","30",2018-07-24 16:50:32,40.514833,-70.879167,"L5",0.38875163927
"EN617","31",2018-07-24 18:24:44,40.6975,-70.880833,"L4",0.22620456866
"EN617","32",2018-07-24 19:51:39,40.8625,-70.8775,"L3",0.49579261862
"EN617","33",2018-07-24 21:39:44,41.028667,-70.878333,"L2",0.44222523292
"EN617","34",2018-07-24 23:07:46,41.196667,-70.882167,"L1",0.09486805459
"EN617","35",2018-07-25 01:16:32,41.323833,-70.585667,"MVCO-ASIT",1.58915748995
"AR31A","1",2018-10-21 07:43:43,40.3615,-70.881333,"L6",0.26045172774
"AR31A","2",2018-10-21 10:07:19,40.515333,-70.880833,"L5",0.30756383114
"AR31A","3",2018-10-21 12:04:35,40.696333,-70.883833,"L4",0.06069980938
"AR31A","4",2018-10-21 14:10:24,40.863167,-70.883667,"L3",0.03422286
"AR31A","5",2018-10-21 16:15:30,41.031167,-70.882833,"L2",0.13554831976
"AR31A","6",2018-10-21 17:51:01,41.1965,-70.883167,"L1",0.02486777515
"AR31B","1",2018-10-25 16:12:18,39.939833,-70.8835,"L10",0.02521046884
"AR31B","2",2018-10-25 20:48:11,39.879167,-70.896333,"L10.5",2.73465057084
"AR31B","3",2018-10-26 00:53:50,40.064333,-70.6695,"u9b",3.79631786896
"AR31B","4",2018-10-26 23:05:30,40.367667,-70.882333,"L6",0.49245162561
"AR31B","5",2018-10-29 04:13:13,40.363333,-70.883167,"L6",0.01185088534
"AR31B","6",2018-10-29 17:32:01,40.135333,-70.773833,"L8",0.1815135972
"AR31B","7",2018-10-30 22:42:03,40.030333,-70.708,"u9b",8.3968896357
"AR31B","8",2018-10-31 02:09:49,40.329,-70.906667,"L6",4.29744702457
"AR31C","1",2018-11-02 15:14:51,40.137167,-70.775833,"L8",0.08781215189
"AR31C","2",2018-11-02 21:01:46,40.098,-70.883833,"L9",0.05628611705
"AR31C","3",2018-11-03 11:58:23,40.363667,-70.883,"L6",0.0480769605
"AR31C","4",2018-11-04 17:09:40,40.364667,-70.775167,"L13",0.03963911342
"AR31C","5",2018-11-05 01:24:57,40.137333,-70.776333,"L8",0.13339813045
"AR31C","6",2018-11-05 02:33:47,40.137333,-70.776333,"L8",0.13339813045
"AR31C","7",2018-11-05 04:44:16,40.137333,-70.776333,"L8",0.13339813045
