cruise,cast,niskin,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
EN617,21,17-18,b,120,>10&<200,2.129904724,1.393,4.36,2.49,0.509,3.8515,1.9815,0.246,0.048,1
EN617,21,17-18,c,120,>10&<200,2.129904724,1.393,4.07,2.38,0.509,3.5615,1.8715,0.222,0.056,1
EN617,21,17-18,a,120,>5&<200,2.129904724,1.393,4.84,2.81,0.509,4.3315,2.3015,0.267,0.075,1
EN617,21,17-18,b,120,>5&<200,2.129904724,1.393,4.95,2.87,0.509,4.4415,2.3615,0.273,0.077,1
EN617,21,17-18,c,120,>5&<200,2.129904724,1.393,4.32,2.54,0.509,3.8115,2.0315,0.234,0.068,1
EN617,21,17-18,a,120,>20&<200,2.129904724,1.393,1.49,1.09,0.509,0.9815,0.5815,0.053,0.034,1
EN617,21,17-18,b,120,>20&<200,2.129904724,1.393,1.4,0.985,0.509,0.8915,0.4765,0.054,0.016,1
EN617,21,17-18,c,120,>20&<200,2.129904724,1.393,1.6,1.07,0.509,1.0915,0.5615,0.070,0.014,1
EN617,21,21-22-23,a,120,>0&<200,2.129904724,1.393,6.83,4.21,0.509,6.3215,3.7015,0.344,0.205,1
EN617,21,21-22-23,b,120,>0&<200,2.129904724,1.393,7.33,4.42,0.509,6.8215,3.9115,0.382,0.198,1
EN617,21,21-22-23,c,120,>0&<200,2.129904724,1.393,6.84,3.91,0.509,6.3315,3.4015,0.385,0.120,1
EN617,21,21-22-23,a,120,>10&<200,2.129904724,1.393,2.47,1.5,0.509,1.9615,0.9915,0.127,0.020,1
EN617,21,21-22-23,b,120,>10&<200,2.129904724,1.393,2.13,1.4,0.509,1.6215,0.8915,0.096,0.036,1
EN617,21,21-22-23,c,120,>10&<200,2.129904724,1.393,2.32,1.47,0.509,1.8115,0.9615,0.112,0.031,1
EN617,21,21-22-23,a,120,>5&<200,2.129904724,1.393,2.82,1.73,0.509,2.3115,1.2215,0.143,0.038,1
EN617,21,21-22-23,b,120,>5&<200,2.129904724,1.393,2.88,1.74,0.509,2.3715,1.2315,0.150,0.033,1
EN617,21,21-22-23,c,120,>5&<200,2.129904724,1.393,2.49,1.55,0.509,1.9815,1.0415,0.123,0.031,1
EN617,21,21-22-23,a,120,>20&<200,2.129904724,1.393,0.772,0.64,0.509,0.2635,0.1315,0.017,0.002,1
EN617,21,21-22-23,b,120,>20&<200,2.129904724,1.393,0.794,0.686,0.509,0.2855,0.1775,0.014,0.012,1
EN617,21,21-22-23,c,120,>20&<200,2.129904724,1.393,0.722,0.679,0.509,0.2135,0.1705,0.006,0.020,1
