cruise,cast,niskin,replicate_chl,vol_filtered,filter_size,Fs,r,fo,fa,blank,fo_blank,fa_blank,chl,phaeo
en617,14',20-21-22-23-24',c,120,>0&<200,1.3933,2.129904724,7.36,4.59,0.425,6.935,4.165,0.363758175503446,0.254243743964975
en617,14',20-21-22-23-24',a,120,>10&<200,1.3933,2.129904724,0.776,0.993,0.425,0.351,0.568,-0.0284965790917862,0.112776312647143
en617,14',20-21-22-23-24',b,120,>10&<200,1.3933,2.129904724,1.38,1.02,0.425,0.955,0.595,0.0472754307513503,0.0410105577441384
en617,14',20-21-22-23-24',c,120,>10&<200,1.3933,2.129904724,1.37,0.993,0.425,0.945,0.568,0.0495078816479419,0.0347718519074154
en617,18',19-20',a,120,>0&<200,1.3933,2.129904724,6.23,3.89,0.5085,5.7215,3.3815,0.307290299883777,0.194456036414534
en617,18',19-20',b,120,>0&<200,1.3933,2.129904724,6.31,3.7,0.5085,5.8015,3.1915,0.34274687294729,0.130807298957504
en617,18',19-20',c,120,>0&<200,1.3933,2.129904724,6.34,4,0.5085,5.8315,3.4915,0.307290299883777,0.210777815800255
en617,18',19-20',a,120,>10&<200,1.3933,2.129904724,1.14,0.821,0.5085,0.6315,0.3125,0.0418912844713354,0.00447740696537083
en617,18',19-20',b,120,>10&<200,1.3933,2.129904724,1.05,0.667,0.5085,0.5415,0.1585,0.0502958054937977,-0.0267776051971003
en617,18',19-20',c,120,>10&<200,1.3933,2.129904724,1.05,0.764,0.5085,0.5415,0.2555,0.0375577033191283,0.000353338799522731
en617,21',14-15',a,120,>0&<200,1.3933,2.129904724,33.9,19.1,0.5085,33.3915,18.5915,1.9435454864444,0.815057799461276
en617,21',14-15',b,120,>0&<200,1.3933,2.129904724,34.1,19.2,0.5085,33.5915,18.6915,1.956677550542,0.816763716623423
en617,21',14-15',c,120,>0&<200,1.3933,2.129904724,33.2,19.2,0.5085,32.6915,18.6915,1.83848897366362,0.934952293501799
en617,21',14-15',a,120,>10&<200,1.3933,2.129904724,9.3,5.11,0.5085,8.7915,4.6015,0.550233485689327,0.132536221977885
en617,21',14-15',b,120,>10&<200,1.3933,2.129904724,10.6,5.69,0.5085,10.0915,5.1815,0.644784347192028,0.124045651781711
en617,21',14-15',c,120,>10&<200,1.3933,2.129904724,11.1,6.5,0.5085,10.5915,5.9915,0.604074948489476,0.284942698688205
en617,21',17-18',a,120,>0&<200,1.3933,2.129904724,14.2,8.45,0.5085,13.6915,7.9415,0.755093685611845,0.423264596130883
en617,21',17-18',b,120,>0&<200,1.3933,2.129904724,13.3,8.5,0.5085,12.7915,7.9915,0.630339076684671,0.555438195687931
en617,21',17-18',c,120,>0&<200,1.3933,2.129904724,13.3,7.72,0.5085,12.7915,7.2115,0.73276917664593,0.337271841900653
en617,21',17-18',a,120,>10&<200,1.3933,2.129904724,3.8,2.22,0.5085,3.2915,1.7115,0.207486612742037,0.0464654365185153
en617,21',17-18',b,120,>10&<200,1.3933,2.129904724,4.36,2.49,0.5085,3.8515,1.9815,0.24556959862507,0.0484450000367973
en617,21',17-18',c,120,>10&<200,1.3933,2.129904724,4.07,2.38,0.5085,3.5615,1.8715,0.221931883249395,0.0557609360267518
en617,21',19-21-23-24',a,120,>0&<200,1.3933,2.129904724,6.83,4.21,0.5085,6.3215,3.7015,0.34406007935705,0.205167796972449
en617,21',19-21-23-24',b,120,>0&<200,1.3933,2.129904724,7.33,4.42,0.5085,6.8215,3.9115,0.382143065240082,0.198244571734883
en617,21',19-21-23-24',c,120,>0&<200,1.3933,2.129904724,6.84,3.91,0.5085,6.3315,3.4015,0.384769478059601,0.119944454490659
en617,21',19-21-23-24',a,120,>10&<200,1.3933,2.129904724,2.47,1.5,0.5085,1.9615,0.9915,0.127381021746694,0.0197375624436877
en617,21',19-21-23-24',b,120,>10&<200,1.3933,2.129904724,2.13,1.4,0.5085,1.6215,0.8915,0.0958640679124604,0.0364165350181752
en617,21',19-21-23-24',c,120,>10&<200,1.3933,2.129904724,2.32,1.47,0.5085,1.8115,0.9615,0.111622544829577,0.0310446449828807
en627,3',8-10-11',a,152,>0&<200,0.324655349,2.154519162,222,160,2.46,219.54,157.55,1.48252176161229,2.86757576432055
en627,3',8-10-11',b,152,>0&<200,0.324655349,2.154519162,253,157,2.46,250.54,154.55,2.29564871587617,1.97161610565934
en627,3',8-10-11',c,152,>0&<200,0.324655349,2.154519162,288,166,2.46,285.54,163.55,2.91745168090149,1.59831125382599
en627,3',8-10-11',a,152,>10&<200,0.324655349,2.154519162,NaN,NaN,2.46,NaN,NaN,NaN,NaN
en627,3',8-10-11',b,152,>10&<200,0.324655349,2.154519162,NaN,NaN,2.46,NaN,NaN,NaN,NaN
en627,3',8-10-11',c,152,>10&<200,0.324655349,2.154519162,199,100,2.46,196.54,97.55,2.36739521184063,0.326048226145711
en627,8',9-10-11',a,152,>0&<200,0.324655349,2.154519162,304,172,2.79,301.21,169.455,3.15098652526581,1.52781878261708
en627,8',9-10-11',b,152,>0&<200,0.324655349,2.154519162,297,168,2.79,294.21,165.455,3.07924002930135,1.48912167271844
en627,8',9-10-11',c,152,>0&<200,0.324655349,2.154519162,313,170,2.79,310.21,167.455,3.41405701046883,1.20952649448251
en627,8',9-10-11',a,152,>10&<200,0.324655349,2.154519162,259,129,2.79,256.21,126.455,3.10315552795617,0.388381016898399
en627,8',9-10-11',b,152,>10&<200,0.324655349,2.154519162,300,153,2.79,297.21,150.455,3.50971900508811,0.644479174945056
en627,8',9-10-11',c,152,>10&<200,0.324655349,2.154519162,259,129,2.79,256.21,126.455,3.10315552795617,0.388381016898399
en627,11-12',11-12',a,152,>0&<200,0.324655349,2.154519162,207,129,2.095,204.905,126.905,1.86540889507596,1.6385525554382
en627,11-12',11-12',b,152,>0&<200,0.324655349,2.154519162,200,123,2.095,197.905,120.905,1.84149339642114,1.49680264529838
en627,11-12',11-12',c,152,>0&<200,0.324655349,2.154519162,264,131,2.095,261.905,128.905,3.18076132109106,0.378421932354657
en627,11-12',11-12',a,152,>10&<200,0.324655349,2.154519162,153,84.2,2.095,150.905,82.105,1.64538630745162,0.621606757395833
en627,11-12',11-12',b,152,>10&<200,0.324655349,2.154519162,140,75.1,2.095,137.905,73.005,1.55211586269782,0.463617998811079
en627,11-12',11-12',c,152,>10&<200,0.324655349,2.154519162,183,91.5,2.095,180.905,89.405,2.18826812691603,0.280284518631576
en627,18-19',11-12',a,152,>0&<200,0.324655349,2.154519162,116,64.1,2.44,113.56,61.69,1.24049691522551,0.462819596198141
en627,18-19',11-12',b,152,>0&<200,0.324655349,2.154519162,115,62,2.44,112.56,59.59,1.26680396374581,0.378529654599712
en627,18-19',11-12',c,152,>0&<200,0.324655349,2.154519162,120,63.5,2.44,117.56,61.09,1.35050820903768,0.336241761506504
en627,18-19',11-12',a,152,>10&<200,0.324655349,2.154519162,43.3,23.5,2.44,40.86,21.09,0.472809408405791,0.109504503507402
en627,18-19',11-12',b,152,>10&<200,0.324655349,2.154519162,52.7,27.9,2.44,50.26,25.49,0.592386901679891,0.111414976682711
en627,18-19',11-12',c,152,>10&<200,0.324655349,2.154519162,54.1,28.2,2.44,51.66,25.79,0.618693950200193,0.0933911986021415
en627,23-24',11-12',a,152,>0&<200,0.324655349,2.154519162,229,124,2.425,226.575,121.555,2.51160566872919,0.844637458943074
en627,23-24',11-12',b,152,>0&<200,0.324655349,2.154519162,215,120,2.425,212.575,117.555,2.27245068218099,0.973348839628174
en627,23-24',11-12',c,152,>0&<200,0.324655349,2.154519162,179,119,2.425,176.575,116.555,1.4354082292623,1.7827803910811
en627,23-24',11-12',a,152,>10&<200,0.324655349,2.154519162,124,62.9,2.425,121.575,60.455,1.4617152777826,0.207501770330824
en627,23-24',11-12',b,152,>10&<200,0.324655349,2.154519162,118,57.4,2.425,115.575,54.955,1.44975752845519,0.067599561596472
en627,23-24',11-12',c,152,>10&<200,0.324655349,2.154519162,110,49.2,2.425,107.575,46.755,1.45454062818615,-0.163592930153846
en627,30',1-2-3-4',a,152,>0&<200,0.324655349,2.154519162,229,135,2.34,226.66,132.67,2.24781771856653,1.41532057889783
en627,30',1-2-3-4',b,152,>0&<200,0.324655349,2.154519162,242,128,2.34,239.66,125.67,2.72612769166293,0.743734295541002
en627,30',1-2-3-4',c,152,>0&<200,0.324655349,2.154519162,230,137,2.34,227.66,134.67,2.22390221991171,1.49445788048419
en627,25',5-6',a,152,>0&<200,0.324655349,2.154519162,197,127,2.39,194.61,124.695,1.67205208845174,1.77088926982306
en627,25',5-6',b,152,>0&<200,0.324655349,2.154519162,168,118,2.39,165.61,115.695,1.19374211535534,2.00070112972749
en627,25',5-6',c,152,>0&<200,0.324655349,2.154519162,177,108,2.39,174.61,105.695,1.64813658979692,1.27019764062816
en627,25',5-6',a,152,>10&<200,0.324655349,2.154519162,95.7,49.6,2.39,93.31,47.295,1.10047167060154,0.205385914222282
en627,25',5-6',b,152,>10&<200,0.324655349,2.154519162,99.9,50.9,2.39,97.51,48.595,1.16982661670052,0.171925140028812
en627,25',5-6',c,152,>10&<200,0.324655349,2.154519162,112,57.3,2.39,109.61,54.995,1.30614495903299,0.212316567077297
en627,25',9-10-11',a,152,>0&<200,0.324655349,2.154519162,207,119,2.39,204.61,116.695,2.1025310642385,1.1195230823101
